date,views,article,trend_id
2021-01-01,18803,Onitsuka Tiger,onitsuka_tiger
2021-02-01,15799,Onitsuka Tiger,onitsuka_tiger
2021-03-01,18117,Onitsuka Tiger,onitsuka_tiger
2021-04-01,17147,Onitsuka Tiger,onitsuka_tiger
2021-05-01,16671,Onitsuka Tiger,onitsuka_tiger
2021-06-01,16087,Onitsuka Tiger,onitsuka_tiger
2021-07-01,18969,Onitsuka Tiger,onitsuka_tiger
2021-08-01,18518,Onitsuka Tiger,onitsuka_tiger
2021-09-01,15585,Onitsuka Tiger,onitsuka_tiger
2021-10-01,15556,Onitsuka Tiger,onitsuka_tiger
2021-11-01,14582,Onitsuka Tiger,onitsuka_tiger
2021-12-01,15644,Onitsuka Tiger,onitsuka_tiger
2022-01-01,16048,Onitsuka Tiger,onitsuka_tiger
2022-02-01,13162,Onitsuka Tiger,onitsuka_tiger
2022-03-01,13803,Onitsuka Tiger,onitsuka_tiger
2022-04-01,16453,Onitsuka Tiger,onitsuka_tiger
2022-05-01,17090,Onitsuka Tiger,onitsuka_tiger
2022-06-01,15356,Onitsuka Tiger,onitsuka_tiger
2022-07-01,17184,Onitsuka Tiger,onitsuka_tiger
2022-08-01,16807,Onitsuka Tiger,onitsuka_tiger
2022-09-01,17187,Onitsuka Tiger,onitsuka_tiger
2022-10-01,17579,Onitsuka Tiger,onitsuka_tiger
2022-11-01,18056,Onitsuka Tiger,onitsuka_tiger
2022-12-01,16538,Onitsuka Tiger,onitsuka_tiger
2023-01-01,19915,Onitsuka Tiger,onitsuka_tiger
2023-02-01,19383,Onitsuka Tiger,onitsuka_tiger
2023-03-01,19367,Onitsuka Tiger,onitsuka_tiger
2023-04-01,21419,Onitsuka Tiger,onitsuka_tiger
2023-05-01,29703,Onitsuka Tiger,onitsuka_tiger
2023-06-01,23616,Onitsuka Tiger,onitsuka_tiger
2023-07-01,25094,Onitsuka Tiger,onitsuka_tiger
2023-08-01,23434,Onitsuka Tiger,onitsuka_tiger
2023-09-01,22789,Onitsuka Tiger,onitsuka_tiger
2023-10-01,22920,Onitsuka Tiger,onitsuka_tiger
2023-11-01,22428,Onitsuka Tiger,onitsuka_tiger
2023-12-01,32622,Onitsuka Tiger,onitsuka_tiger
2024-01-01,32789,Onitsuka Tiger,onitsuka_tiger
2024-02-01,26455,Onitsuka Tiger,onitsuka_tiger
2024-03-01,30381,Onitsuka Tiger,onitsuka_tiger
2024-04-01,31874,Onitsuka Tiger,onitsuka_tiger
2024-05-01,27206,Onitsuka Tiger,onitsuka_tiger
2024-06-01,25259,Onitsuka Tiger,onitsuka_tiger
2024-07-01,31195,Onitsuka Tiger,onitsuka_tiger
2024-08-01,32820,Onitsuka Tiger,onitsuka_tiger
2024-09-01,30687,Onitsuka Tiger,onitsuka_tiger
2024-10-01,29751,Onitsuka Tiger,onitsuka_tiger
2024-11-01,29452,Onitsuka Tiger,onitsuka_tiger
2024-12-01,29955,Onitsuka Tiger,onitsuka_tiger
2025-01-01,28228,Onitsuka Tiger,onitsuka_tiger
2025-02-01,28144,Onitsuka Tiger,onitsuka_tiger
2025-03-01,115309,Onitsuka Tiger,onitsuka_tiger
2025-04-01,31024,Onitsuka Tiger,onitsuka_tiger
2025-05-01,32606,Onitsuka Tiger,onitsuka_tiger
2025-06-01,29227,Onitsuka Tiger,onitsuka_tiger
2025-07-01,27039,Onitsuka Tiger,onitsuka_tiger
2025-08-01,29789,Onitsuka Tiger,onitsuka_tiger
2025-09-01,28347,Onitsuka Tiger,onitsuka_tiger
2025-10-01,29766,Onitsuka Tiger,onitsuka_tiger
2025-11-01,28161,Onitsuka Tiger,onitsuka_tiger
2025-12-01,25635,Onitsuka Tiger,onitsuka_tiger
2026-01-01,26537,Onitsuka Tiger,onitsuka_tiger
2026-02-01,22296,Onitsuka Tiger,onitsuka_tiger
2026-03-01,25528,Onitsuka Tiger,onitsuka_tiger
2026-04-01,32135,Onitsuka Tiger,onitsuka_tiger
2026-05-01,27655,Onitsuka Tiger,onitsuka_tiger
2026-06-01,26908,Onitsuka Tiger,onitsuka_tiger
2021-01-01,29407,Uniqlo,uniqlo
2021-02-01,27133,Uniqlo,uniqlo
2021-03-01,33105,Uniqlo,uniqlo
2021-04-01,28938,Uniqlo,uniqlo
2021-05-01,26889,Uniqlo,uniqlo
2021-06-01,30188,Uniqlo,uniqlo
2021-07-01,48368,Uniqlo,uniqlo
2021-08-01,35904,Uniqlo,uniqlo
2021-09-01,32445,Uniqlo,uniqlo
2021-10-01,37871,Uniqlo,uniqlo
2021-11-01,40882,Uniqlo,uniqlo
2021-12-01,36117,Uniqlo,uniqlo
2022-01-01,34279,Uniqlo,uniqlo
2022-02-01,33740,Uniqlo,uniqlo
2022-03-01,44209,Uniqlo,uniqlo
2022-04-01,35222,Uniqlo,uniqlo
2022-05-01,35644,Uniqlo,uniqlo
2022-06-01,36971,Uniqlo,uniqlo
2022-07-01,38129,Uniqlo,uniqlo
2022-08-01,46557,Uniqlo,uniqlo
2022-09-01,55909,Uniqlo,uniqlo
2022-10-01,57525,Uniqlo,uniqlo
2022-11-01,70906,Uniqlo,uniqlo
2022-12-01,49046,Uniqlo,uniqlo
2023-01-01,48381,Uniqlo,uniqlo
2023-02-01,40679,Uniqlo,uniqlo
2023-03-01,45914,Uniqlo,uniqlo
2023-04-01,46779,Uniqlo,uniqlo
2023-05-01,59049,Uniqlo,uniqlo
2023-06-01,55003,Uniqlo,uniqlo
2023-07-01,66024,Uniqlo,uniqlo
2023-08-01,66823,Uniqlo,uniqlo
2023-09-01,61730,Uniqlo,uniqlo
2023-10-01,58191,Uniqlo,uniqlo
2023-11-01,67003,Uniqlo,uniqlo
2023-12-01,73064,Uniqlo,uniqlo
2024-01-01,85945,Uniqlo,uniqlo
2024-02-01,53574,Uniqlo,uniqlo
2024-03-01,63077,Uniqlo,uniqlo
2024-04-01,62188,Uniqlo,uniqlo
2024-05-01,53409,Uniqlo,uniqlo
2024-06-01,42711,Uniqlo,uniqlo
2024-07-01,51195,Uniqlo,uniqlo
2024-08-01,57478,Uniqlo,uniqlo
2024-09-01,48056,Uniqlo,uniqlo
2024-10-01,60993,Uniqlo,uniqlo
2024-11-01,62969,Uniqlo,uniqlo
2024-12-01,58144,Uniqlo,uniqlo
2025-01-01,49267,Uniqlo,uniqlo
2025-02-01,37869,Uniqlo,uniqlo
2025-03-01,45632,Uniqlo,uniqlo
2025-04-01,33550,Uniqlo,uniqlo
2025-05-01,34651,Uniqlo,uniqlo
2025-06-01,34497,Uniqlo,uniqlo
2025-07-01,34112,Uniqlo,uniqlo
2025-08-01,33443,Uniqlo,uniqlo
2025-09-01,33256,Uniqlo,uniqlo
2025-10-01,35739,Uniqlo,uniqlo
2025-11-01,34549,Uniqlo,uniqlo
2025-12-01,40044,Uniqlo,uniqlo
2026-01-01,36720,Uniqlo,uniqlo
2026-02-01,45769,Uniqlo,uniqlo
2026-03-01,46982,Uniqlo,uniqlo
2026-04-01,50715,Uniqlo,uniqlo
2026-05-01,46277,Uniqlo,uniqlo
2026-06-01,35801,Uniqlo,uniqlo
