trend_id,trend,category,cultural_world,desire_type
onitsuka_tiger,Onitsuka Tiger,fashion,Tokyo,brand
japan_travel,Japan travel,travel,Japan,place
tokyo_shopping,Tokyo shopping,travel,Tokyo,experience
issey_miyake,Issey Miyake,fashion,Tokyo,brand
matcha,Matcha,food,Japan,food
digital_cameras,Digital cameras,lifestyle,internet culture,object
vintage_watches,Vintage watches,fashion,Tokyo / NYC,object
ballet_flats,Ballet flats,fashion,NYC,product
adidas_taekwondo,Adidas Taekwondo,fashion,NYC,product
track_shorts,Track shorts,fashion,NYC,product
jorts,Jorts,fashion,NYC,product
coach,Coach,fashion,NYC,brand
rhode,Rhode,beauty,internet culture,brand
nyc_travel,NYC travel,travel,NYC,place
vintage_shopping,Vintage shopping,fashion,Tokyo / NYC,experience
